iter	RMSE
0	618.6538983
1	598.9197252
2	579.7270753
3	562.3113547
4	546.2175055
5	531.886555
6	517.8630015
7	505.9746032
8	494.0399554
9	482.4900606
10	473.0462527
11	462.9510038
12	454.7274365
13	446.575741
14	439.2582048
15	432.9059734
16	425.7350012
17	420.0730658
18	414.2035539
19	408.7843201
20	404.1523203
21	399.9587125
22	395.7796209
23	392.3064172
24	389.0130086
25	385.8287623
26	382.7112638
27	379.9733017
28	377.5228773
29	374.5948904
30	372.0660798
31	369.7874594
32	367.946656
33	365.7911928
34	364.031228
35	362.0705493
36	360.3610632
37	358.8146445
38	357.4263511
39	355.8700046
40	354.2791307
41	353.0075494
42	351.8481098
43	350.6698703
44	349.6390795
45	348.5974399
46	347.4583763
47	346.5067954
48	345.4572403
49	344.4245632
50	343.4356883
51	342.542603
52	341.7660917
53	340.8795187
54	340.0505784
55	339.2405365
56	338.5510851
57	337.7221647
58	337.0877859
59	336.3177519
60	335.2128539
61	334.4820637
62	333.870826
63	333.2440248
64	332.6322737
65	332.0584921
66	331.5400008
67	331.0117186
68	330.3833516
69	329.9179127
70	329.2742109
71	328.9459508
72	328.5867199
73	328.1894224
74	327.6769864
75	327.3185961
76	327.0297944
77	326.5930704
78	326.1830332
79	325.8789593
80	325.5581549
81	325.169411
82	324.3051295
83	324.0030113
84	323.7430219
85	323.2845502
86	322.750824
87	322.3715125
88	322.04145
89	321.740556
90	321.2283366
91	320.4369457
92	320.2045385
93	319.7663751
94	319.5452493
95	319.3120115
96	318.6738944
97	318.4781847
98	318.349309
99	318.167233
100	317.9092708
101	317.6314904
102	317.4976313
103	317.322506
104	316.9699374
105	316.7065353
106	316.3956583
107	316.2176658
108	315.8634354
109	315.7353705
110	315.4618961
111	315.2530844
112	315.1144564
113	314.9339716
114	314.8774114
115	314.321344
116	314.059911
117	313.8362737
118	313.490514
119	312.9569405
120	312.7579501
121	312.2356854
122	311.9944709
123	311.8286281
124	311.642402
125	311.536287
126	311.3344235
127	311.200884
128	311.0461322
129	310.8447221
130	310.5990951
131	310.4473145
132	310.0622403
133	309.9296666
134	309.7399429
135	309.317211
136	308.6367641
137	308.2505253
138	308.141761
139	307.9695123
140	307.4682306
141	307.3092494
142	306.6944898
143	306.4814364
144	306.3888493
145	306.3135496
146	306.1129009
147	305.8615843
148	305.6394676
149	305.4861249
150	305.0446492
151	304.7585469
152	304.4977513
153	304.2902502
154	304.0248426
155	303.8617036
156	303.7474597
157	303.545324
158	303.3010419
159	303.0891957
160	302.8682914
161	302.7738657
162	302.4746337
163	302.3740354
164	302.2295102
165	301.9387283
166	301.7465803
167	301.7028772
168	301.2380215
169	300.8773241
170	300.7815261
171	300.6283924
172	300.4427355
173	300.2703858
174	300.142036
175	299.8727241
176	299.6532748
177	299.6347315
178	298.9546723
179	298.6298957
180	298.341902
181	297.6756666
182	297.4833035
183	297.3784968
184	297.3461626
185	297.1852822
186	297.0380027
187	296.4425205
188	295.9741221
189	295.4202912
190	295.3133861
191	295.1529791
192	294.9984
193	294.3226298
194	293.7298151
195	293.1801284
196	293.0046926
197	292.912685
198	292.5229298
199	292.3028479
200	292.2593016
201	292.0357624
202	291.6695722
203	291.6038885
204	291.0970093
205	291.0798394
206	290.8639235
207	290.8183905
208	290.650631
209	290.1205982
210	290.0793887
211	290.0391959
212	289.773758
213	289.1213396
214	288.9970666
215	288.7629521
216	288.513043
217	288.0523233
218	288.0249259
219	287.8541315
220	287.7647469
221	287.6258068
222	287.5889648
223	287.4175208
224	287.3960791
225	287.2370802
226	287.2017446
227	287.0324248
228	286.9901392
229	286.8393226
230	286.5883692
231	286.3700763
232	286.0251186
233	285.7815729
234	285.6475946
235	285.6144556
236	285.3765606
237	285.3630005
238	285.2286629
239	284.7441003
240	284.5511139
241	284.5296642
242	284.1516318
243	284.0400982
244	283.8398768
245	283.8206435
246	283.6464905
247	283.6331958
248	283.5023183
249	283.3167758
250	283.2123453
251	283.199153
252	282.9501381
253	282.8087069
254	282.7964349
255	282.7038983
256	282.512522
257	282.2607933
258	281.842176
259	281.378586
260	281.3567133
261	281.1606393
262	281.0528614
263	281.0408258
264	281.0293141
265	280.7986079
266	280.6628664
267	280.507031
268	280.3498117
269	280.2787894
270	280.2674191
271	280.1569985
272	280.1459396
273	280.0298769
274	279.8149881
275	279.6894918
276	279.3388242
277	279.3280508
278	279.3175251
279	279.1928119
280	279.1830851
281	279.0527917
282	278.6707496
283	278.4955454
284	278.3181465
285	278.2315415
286	278.2148394
287	278.1291653
288	277.9098541
289	277.8164162
290	277.6717601
291	277.657093
292	277.5846241
293	277.5749628
294	277.3624314
295	277.2902682
296	277.1068252
297	276.6829658
298	276.6735524
299	276.5094751
300	276.1614963
301	276.0909206
302	276.0336378
303	275.667748
304	275.5387108
305	275.3617284
306	275.2660015
