iter	Passed	Remaining
0	7	7186
1	14	7245
2	22	7382
3	29	7315
4	36	7361
5	44	7340
6	51	7295
7	58	7260
8	65	7265
9	73	7245
10	82	7377
11	93	7685
12	106	8103
13	115	8144
14	124	8201
15	132	8137
16	140	8147
17	148	8110
18	157	8107
19	164	8051
20	173	8075
21	182	8110
22	194	8259
23	202	8222
24	210	8208
25	218	8166
26	225	8115
27	232	8072
28	240	8039
29	247	8002
30	255	7971
31	262	7935
32	269	7900
33	276	7861
34	284	7831
35	291	7800
36	298	7772
37	305	7737
38	313	7713
39	320	7684
40	327	7656
41	334	7628
42	342	7620
43	350	7608
44	357	7586
45	364	7564
46	371	7538
47	379	7518
48	386	7495
49	393	7472
50	400	7456
51	407	7436
52	414	7414
53	422	7395
54	429	7375
55	436	7356
56	445	7373
57	455	7394
58	464	7400
59	471	7394
60	480	7395
61	488	7388
62	496	7390
63	505	7386
64	513	7387
65	520	7371
66	529	7369
67	536	7354
68	544	7350
69	552	7343
70	560	7335
71	568	7324
72	575	7307
73	583	7303
74	591	7292
75	599	7283
76	606	7267
77	614	7259
78	621	7250
79	630	7245
80	637	7238
81	645	7229
82	654	7226
83	663	7235
84	671	7226
85	680	7227
86	687	7218
87	697	7225
88	705	7224
89	714	7225
90	722	7215
91	731	7219
92	738	7204
93	747	7200
94	754	7187
95	763	7187
96	770	7172
97	779	7179
98	787	7170
99	796	7169
100	804	7157
101	813	7158
102	820	7142
103	829	7143
104	836	7128
105	844	7125
106	852	7112
107	863	7133
108	876	7164
109	883	7148
110	891	7137
111	906	7186
112	921	7232
113	938	7290
114	957	7367
115	974	7429
116	989	7466
117	1000	7481
118	1012	7499
119	1021	7488
120	1029	7480
121	1041	7495
122	1055	7525
123	1068	7548
124	1081	7569
125	1090	7567
126	1109	7627
127	1117	7611
128	1124	7595
129	1132	7576
130	1140	7567
131	1148	7550
132	1156	7541
133	1165	7529
134	1178	7553
135	1186	7538
136	1194	7522
137	1201	7505
138	1208	7486
139	1216	7469
140	1223	7454
141	1230	7437
142	1238	7421
143	1245	7406
144	1253	7389
145	1260	7372
146	1267	7354
147	1274	7336
148	1284	7338
149	1292	7321
150	1299	7306
151	1308	7298
152	1315	7283
153	1323	7270
154	1331	7257
155	1338	7242
156	1347	7235
157	1355	7225
158	1363	7209
159	1370	7193
160	1377	7177
161	1384	7161
162	1391	7145
163	1398	7131
164	1406	7116
165	1413	7102
166	1420	7086
167	1427	7070
168	1435	7060
169	1442	7044
170	1452	7040
171	1459	7025
172	1467	7014
173	1474	6998
174	1481	6984
175	1488	6969
176	1496	6956
177	1503	6942
178	1510	6929
179	1518	6916
180	1525	6902
181	1532	6888
182	1540	6878
183	1547	6865
184	1556	6856
185	1564	6845
186	1572	6835
187	1579	6823
188	1596	6852
189	1604	6839
190	1612	6828
191	1619	6816
192	1628	6807
193	1636	6797
194	1644	6788
195	1651	6775
196	1659	6763
197	1666	6750
198	1673	6737
199	1681	6724
200	1688	6711
201	1695	6700
202	1703	6686
203	1710	6673
204	1717	6661
205	1724	6648
206	1732	6636
207	1739	6623
208	1746	6610
209	1753	6597
210	1761	6585
211	1768	6572
212	1775	6559
213	1782	6546
214	1789	6533
215	1796	6521
216	1804	6509
217	1812	6502
218	1819	6490
219	1827	6478
220	1834	6466
221	1842	6455
222	1849	6443
223	1856	6430
224	1863	6418
225	1870	6407
226	1877	6394
227	1885	6383
228	1892	6372
229	1899	6360
230	1907	6349
231	1914	6337
232	1921	6325
233	1928	6313
234	1938	6309
235	1945	6297
236	1952	6286
237	1959	6275
238	1966	6262
239	1974	6252
240	1982	6244
241	1990	6233
242	1997	6222
243	2004	6211
244	2012	6200
245	2019	6188
246	2026	6177
247	2033	6165
248	2040	6154
249	2047	6143
250	2054	6132
251	2061	6119
252	2069	6109
253	2078	6104
254	2086	6096
255	2093	6084
256	2102	6077
257	2109	6067
258	2116	6056
259	2124	6046
260	2131	6035
261	2138	6025
262	2147	6017
263	2160	6021
264	2168	6014
265	2175	6003
266	2183	5994
267	2190	5983
268	2197	5972
269	2205	5961
270	2211	5950
271	2219	5939
272	2226	5929
273	2234	5919
274	2241	5910
275	2249	5900
276	2256	5890
277	2264	5880
278	2271	5868
279	2278	5858
280	2285	5847
281	2292	5836
282	2299	5826
283	2307	5818
284	2316	5810
285	2324	5803
286	2333	5796
287	2341	5789
288	2349	5780
289	2357	5770
290	2364	5761
291	2372	5752
292	2380	5743
293	2388	5734
294	2395	5724
295	2402	5714
296	2409	5703
297	2417	5694
298	2424	5683
299	2431	5673
300	2438	5663
301	2446	5653
302	2453	5643
303	2460	5634
304	2468	5624
305	2475	5615
306	2483	5606
307	2491	5596
308	2498	5588
309	2505	5577
310	2513	5568
311	2521	5559
312	2528	5550
313	2535	5540
314	2544	5532
315	2551	5523
316	2559	5514
317	2566	5505
318	2573	5494
319	2581	5485
320	2589	5477
321	2597	5468
322	2604	5458
323	2611	5449
324	2619	5440
325	2627	5432
